job_title,company_name,time_posted,num_applicants,employment_type,salary
Part-Time Budtender - R. Greenleaf,Schwazze,,,Entry level,"Base pay range

      $13.00/hr - $16.00/hr"
Project Analyst,USEC Inc.,1 day ago,,Mid-Senior level,"Base pay range

      $50,000.00/yr - $90,000.00/yr"
Data and Policy Assistant,Vālenz®,1 day ago,36 applicants,Entry level,
Data Scientist,Jobot,1 day ago,40 applicants,Entry level,"Base pay range

      $140,000.00/yr - $170,000.00/yr"
Data Analyst,Qualcomm,1 day ago,,Not Applicable,"Base pay range

      $77,000.00/yr - $116,000.00/yr"
Junior/Entry Software Developer,SynergisticIT,3 days ago,58 applicants,Entry level,
Senior Data Scientist,Audible,1 day ago,140 applicants,Mid-Senior level,
Product Data Analyst,CarOffer,2 days ago,95 applicants,Entry level,
Data Analyst,Jobot,,176 applicants,Entry level,"Base pay range

      $120,000.00/yr - $150,000.00/yr"
A Payroll Analyst is looking for training to change careers to become a Data Science,eStaffing Inc.,3 weeks ago,,Mid-Senior level,"Base pay range

      $40.00/hr - $60.00/hr"
Associate Scientist,eTeam,1 day ago,,Associate,"Base pay range

      $38.00/hr - $41.00/hr"
Data Science Analyst,Brown & Brown Insurance,2 weeks ago,,Entry level,
Head of Data Science,AG Consulting & Services,1 day ago,,Mid-Senior level,"Base pay range

      $140,000.00/yr - $190,000.00/yr"
Data BI Analyst,Team Remotely Inc,1 day ago,179 applicants,Mid-Senior level,"Base pay range

      $56,000.00/yr - $66,000.00/yr"
"Senior Analyst, Data Scientist",Annalect,1 day ago,145 applicants,Mid-Senior level,"Base pay range

      $50,000.00/yr - $115,000.00/yr"
Data Scientist Hybrid #240412-1947AR-001,State of Connecticut,,27 applicants,Associate,
Data Scientist I - Wagner Lab,University of Pittsburgh,2 days ago,71 applicants,Entry level,
Healthcare AI/ML Architect,"Cybertec, Inc",,,Entry level,
Chief of Staff,Digna Recruitment,5 days ago,117 applicants,Director,"Base pay range

      $150,000.00/yr - $150,000.00/yr"
Machine Learning Engineer,BTI360,6 days ago,,Mid-Senior level,
Data Engineer,Jada Systems Inc,1 day ago,,Entry level,
"Data Analyst, Product - Marketplace",SeatGeek,5 days ago,,Entry level,"Base pay range

      $100,000.00/yr - $170,000.00/yr"
Urgent requirement of AI / ML Engineer @ 100% Remote,Webologix Global,,,Mid-Senior level,
Data BI Analyst,Patterned Learning Career,,,Mid-Senior level,
Data Engineer/Analyst,Community Services Group - CSG,1 day ago,,Entry level,
Business Operations & Process Analyst,Encore Access,1 month ago,,Associate,
,,,,,
Pricing Analyst,Bazaarvoice,2 days ago,111 applicants,Mid-Senior level,"Base pay range

      $95,000.00/yr - $100,000.00/yr"
,,,,,
Financial Data Analyst,Prodware Solutions,,,Mid-Senior level,
Data Science Manager,Selby Jennings,1 week ago,66 applicants,Mid-Senior level,"Base pay range

      $160,000.00/yr - $200,000.00/yr"
,,,,,
,,,,,
Operations Analyst,Talentree,5 days ago,53 applicants,Associate,
,,,,,
Junior Data Scientist,Dice,,,Entry level,
,,,,,
AI Software Solutions Engineer,Intel Corporation,,58 applicants,Mid-Senior level,
Data Science Manager,Alpha Recon,5 days ago,45 applicants,Mid-Senior level,
Database Analyst,Top Prospect Group,1 day ago,,Mid-Senior level,"Base pay range

      $28.00/hr - $30.00/hr"
Data Engineer,Bardess Group Ltd,1 day ago,,Entry level,
Data Scientist - Computational Biology,"FUJIFILM Cellular Dynamics, Inc",1 day ago,33 applicants,Entry level,
Data Analyst,Probi AB,1 day ago,,Associate,"Base pay range

      $29.32/hr - $32.69/hr"
Co-op: Data Engineer,Cellarity,5 days ago,,Entry level,
Data Science Associate- Consumer Deposits.,"Santander Bank, N.A.",1 week ago,104 applicants,Entry level,
Research Scientist - Entry Level,iConsultera,,,Entry level,
Data Scientist,Microsoft,,,Not Applicable,"Base pay range

      $94,300.00/yr - $198,600.00/yr"
Bioinformatician (Bioinformatics Analyst),Indiana University Indianapolis,,,Not Applicable,"Base pay range

      $69,752.00/yr - $79,752.00/yr"
Sr. Machine Learning Engineer,"Mercedes-Benz Research & Development North America, Inc.",,95 applicants,Mid-Senior level,
Data Analyst,Jobot,1 day ago,192 applicants,Entry level,"Base pay range

      $120,000.00/yr - $150,000.00/yr"
Data Reporters (2),Boston Globe Media,1 day ago,36 applicants,Mid-Senior level,
"Intern, Data Science and Analytics",Razorfish,1 day ago,,Internship,"Base pay range

      $20.00/hr - $23.00/hr"
Senior Data Scientist,Grid Dynamics,2 days ago,,Mid-Senior level,
,,,,,
Want to transition your career from Financial Analyst to Business Analysis,eStaffing Inc.,,,Associate,"Base pay range

      $40.00/hr - $60.00/hr"
Data Engineer,Gunderson Dettmer,,46 applicants,Mid-Senior level,
Data Engineer/Analyst Associate,Scholastic,4 days ago,,Entry level,"Base pay range

      $126,996.00/yr - $131,800.00/yr"
Director of Data Science,Burtch Works,2 days ago,65 applicants,Director,
FinTech Data Scientist,Vanguard,,96 applicants,Associate,
"Analyst, Insights & Analytics",WinShape Foundation,1 day ago,28 applicants,Entry level,
Data Science Manager,Ford Motor Company,1 day ago,83 applicants,Not Applicable,
Data science engineer,Info Way Solutions,3 weeks ago,,Entry level,
Data Researcher (MTS),Acceler8 Talent,,,Mid-Senior level,
STUDENT INTERN,City of Chicago Department of Law,2 days ago,,Internship,"Base pay range

      $15.89/hr - $16.28/hr"
Data Analyst,Frequence,6 days ago,,Entry level,
AI Software Engineer,myGwork - LGBTQ+ Business Community,,29 applicants,Entry level,"Base pay range

      $122,200.00/yr - $244,500.00/yr"
Full Time Only: AI/ML Developer,Visionary Innovative Technology Solutions LLC,1 day ago,51 applicants,Associate,
Business Intelligence & Data Analyst,University of North Carolina at Chapel Hill,2 days ago,184 applicants,Mid-Senior level,
Sustainability Analyst,US Tech Solutions,,153 applicants,Associate,
Data Analyst,Jobot,1 day ago,192 applicants,Entry level,"Base pay range

      $120,000.00/yr - $150,000.00/yr"
Data Scientist NEW 4-10-24,Professional Staffing Services Group Inc.,2 days ago,,Entry level,
Data Reporters (2),Boston Globe Media,1 day ago,36 applicants,Mid-Senior level,
Data Analyst,HCH Enterprises,5 days ago,146 applicants,Entry level,"Base pay range

      $92,000.00/yr - $101,000.00/yr"
Data Scientist,Randstad USA,6 days ago,25 applicants,Not Applicable,"Base pay range

      $100,000.00/yr - $130,000.00/yr"
Data Scientist III,Crystal Equation Corporation,2 days ago,,Entry level,
Senior Data Scientist,Grid Dynamics,2 days ago,,Mid-Senior level,
Director of Data Science and Drug Discovery,Life Science People,2 weeks ago,82 applicants,Director,
"(USA) Senior, Data Scientist - ML Engineer",Walmart,6 days ago,48 applicants,Mid-Senior level,"Base pay range

      $90,000.00/yr - $234,000.00/yr"
AI/ML Engineer (MidLevel),Node.Digital LLC,1 day ago,,Mid-Senior level,
Digital Associate,PLUS Communications,2 days ago,,Associate,
Data Analyst,Jobot,,89 applicants,Entry level,"Base pay range

      $120,000.00/yr - $150,000.00/yr"
Data Analyst-MD,eStaffing Inc.,,,Entry level,
"Data Science and Analytics, Product Infra",Anthropic,1 week ago,73 applicants,Entry level,"Base pay range

      $240,000.00/yr - $285,000.00/yr"
"Fully Remote Power BI Data Analyst - Power BI, SQL, Snowflake",CyberCoders,1 day ago,,Mid-Senior level,"Base pay range

      $90,000.00/yr - $110,000.00/yr"
Senior Perception Engineer,Miso Robotics,1 day ago,,Mid-Senior level,
Data Engineer,Gunderson Dettmer,,49 applicants,Mid-Senior level,
"Data Scientist (TX, NJ, GA)",Infinite Computer Solutions,5 days ago,,Entry level,
Software Engineer (Data Production +Access),Replica,4 days ago,,Mid-Senior level,"Base pay range

      $98,100.00/yr - $149,600.00/yr"
Data Integration Developer Intern,MorphWorks,1 day ago,121 applicants,Internship,
Data Engineer,Gunderson Dettmer,,66 applicants,Mid-Senior level,
Research Intern,Microsoft,,,Not Applicable,"Base pay range

      $12,170.00/yr - $13,240.00/yr"
Data Engineer,EVONA,,,Mid-Senior level,"Base pay range

      $100,000.00/yr - $150,000.00/yr"
Anti-Money Laundering Analyst,Forrest Solutions,,,Not Applicable,"Base pay range

      $28.00/hr - $30.00/hr"
Senior Data Analyst,Artsy,1 day ago,142 applicants,Mid-Senior level,
Data Scientist - Computational Biology,"FUJIFILM Cellular Dynamics, Inc",1 day ago,33 applicants,Entry level,
Business Analyst,Insight Global,,149 applicants,Mid-Senior level,"Base pay range

      $38.00/hr - $50.00/hr"
Director of Data Analytics,WiserWulff,1 day ago,50 applicants,Director,
Battery Engineer: Electrochemistry,ADVANO,,,Mid-Senior level,
Applied Scientist,Microsoft,,,Not Applicable,"Base pay range

      $94,300.00/yr - $198,600.00/yr"
Data Management Analyst,Confidential,,44 applicants,Associate,"Base pay range

      $30.00/hr - $35.00/hr"
Bioinformatics Scientist,Active Motif,2 days ago,,Mid-Senior level,"Base pay range

      $90,000.00/yr - $120,000.00/yr"
Operations Analyst,"Pyramid Consulting, Inc",5 days ago,,Not Applicable,"Base pay range

      $27.65/hr - $27.65/hr"
Digital Marketing Assistant (Remote),myVA360,,,Entry level,
"Staff, Data Scientist",Walmart,4 days ago,,Entry level,"Base pay range

      $132,000.00/yr - $264,000.00/yr"
Business Analyst,CBC,,,Mid-Senior level,
Partner Strategy Operations Manager,Zillow,1 day ago,,Mid-Senior level,"Base pay range

      $103,200.00/yr - $164,800.00/yr"
Data Engineer,Gunderson Dettmer,,122 applicants,Mid-Senior level,
AI/ML Engineer (MidLevel),Node.Digital LLC,1 day ago,,Mid-Senior level,
Artificial Intelligence Engineer,"Triunity Software, Inc.",6 days ago,,Not Applicable,
Anti-Money Laundering Analyst,Forrest Solutions,,,Not Applicable,"Base pay range

      $28.00/hr - $30.00/hr"
Data Scientist/Senior Data Scientist,Navy Federal Credit Union,1 day ago,84 applicants,Mid-Senior level,"Base pay range

      $76,900.00/yr - $138,900.00/yr"
Business Analyst,Insight Global,,149 applicants,Mid-Senior level,"Base pay range

      $38.00/hr - $50.00/hr"
