Title,Company,Posted,Applicants,Type,Salary,Data Science,Machine Learning,Data Analyst
machine learning engineering intern,Bain & Company,1 day ago,70 ,Not Applicable,119324.07,False,True,False
business intelligence analyst,The Walt Disney Company,4 days ago,0,Mid-Senior level,118502.52,False,False,False
data scientist,The Connor Group,1 day ago,42 ,Associate,117581.3,True,False,False
data science analyst,Bethpage Technologies Inc,1 week ago,103 ,Associate,117581.3,True,False,False
ml engineer analyst,"CARIAD, Inc.",4 days ago,0,Entry level,121150.0,False,True,False
ai engineer,Fathom - AI Meeting Assistant,1 day ago,58 ,Entry level,132500.0,False,True,False
business analyst,"International Cosmetics & Perfumes, Inc.",1 day ago,104 ,Mid-Senior level,118502.52,False,False,False
data scientist,WATI,1 day ago,44 ,Entry level,133402.3,True,False,False
data scientist,Aquila Engineering LLC,1 day ago,61 ,Entry level,133402.3,True,False,False
data scientist,Quevera,1 day ago,0,Entry level,133402.3,True,False,False
jr data scientist,VBeyond Corporation,1 day ago,163 ,Mid-Senior level,118502.52,True,False,False
data scientist,Mercari US,5 days ago,158 ,Entry level,133402.3,True,False,False
ai ml python and data science developer,Makro Technologies Inc.,4 weeks ago,41 ,Entry level,133402.3,True,True,False
data analyst data scientist,Capgemini,1 day ago,41 ,Entry level,133402.3,True,False,True
data science consultant,Wellmark Blue Cross and Blue Shield,2 weeks ago,0,Mid-Senior level,118502.52,True,False,False
nuuly data scientist,"URBN (Urban Outfitters, Anthropologie Group, Free People & Nuuly)",1 day ago,61 ,Entry level,133402.3,True,False,False
data scientist space optimization,H-E-B,1 day ago,27 ,Entry level,133402.3,True,False,False
ai ml engineer,Syntricate Technologies,2 days ago,26 ,Entry level,133402.3,False,True,False
analyst data analytics,Walgreens,1 day ago,117 ,Not Applicable,119324.07,False,False,True
data scientist creator marketing,Meta,6 days ago,66 ,Not Applicable,140000.0,True,False,False
data scientist,Microsoft,1 day ago,95 ,Not Applicable,119324.07,True,False,False
junior business analyst,Eleanor Health,1 day ago,193 ,Entry level,65000.0,False,False,False
business consultant,Centric Software,1 day ago,0,Mid-Senior level,107500.0,True,False,False
data scientist measurement modeling,"FocusKPI, Inc.",1 day ago,92 ,Mid-Senior level,124800.0,True,False,False
machine learning engineering intern,Bain & Company,1 day ago,48 ,Not Applicable,119324.07,False,True,False
machine learning ops engineer at ai image to image startup,Ponce AI,1 day ago,50 ,Entry level,133402.3,False,True,False
data science manager,Teamshares,2 weeks ago,63 ,Not Applicable,119324.07,True,False,False
machine learning engineer ai genai,Bridgenext,2 days ago,50 ,Mid-Senior level,118502.52,False,True,False
data scientist,Microsoft,1 day ago,38 ,Not Applicable,119324.07,True,False,False
data scientist associate,Nestlé,4 days ago,193 ,Associate,117581.3,True,False,False
data scientist,Microsoft,1 day ago,67 ,Not Applicable,146450.0,True,False,False
associate data analytics nyc,AdTheorent,1 day ago,185 ,Associate,72500.0,False,False,False
data analyst,Los Angeles World Airports,3 days ago,134 ,Associate,117581.3,False,False,True
data science specialist,ClifyX,1 day ago,0,Entry level,133402.3,True,False,False
data scientist,EDGE,1 day ago,75 ,Associate,140000.0,True,False,False
machine learning engineering intern,Bain & Company,1 day ago,36 ,Not Applicable,119324.07,False,True,False
health data research associate,Restore Hyper Wellness,6 days ago,38 ,Associate,117581.3,False,False,False
data scientist,Microsoft,1 day ago,31 ,Not Applicable,119324.07,True,False,False
data analysttableau specialist,"THOR Solutions, LLC",1 day ago,0,Entry level,133402.3,False,False,True
machine learning engineer intern,Entertainment Partners,1 day ago,167 ,Internship,39088.4,False,True,False
machine learning engineer,Ascendion,1 day ago,94 ,Mid-Senior level,120000.0,False,True,False
data scientist,Brooksource,2 days ago,0,Mid-Senior level,109200.0,True,False,False
data science summer intern,The Chemours Company,1 day ago,70 ,Not Applicable,119324.07,True,False,False
ai ml engineer,Iris Software Inc.,1 day ago,112 ,Mid-Senior level,118502.52,False,True,False
director data science ai ml practice lead,Birlasoft,2 weeks ago,185 ,Director,183941.67,True,True,False
research intern,Microsoft,1 day ago,0,Not Applicable,12705.0,False,False,False
data analyst,RavenTek,1 day ago,100 ,Entry level,133402.3,False,False,True
epidemiologist,University of Rochester,1 day ago,0,Mid-Senior level,78145.5,False,False,False
machine learning research scientist activehuman feedback learning,Nuro,1 day ago,58 ,Mid-Senior level,209000.0,False,True,False
rwe sql programmer,"TechData Service Company, LLC",2 days ago,0,Entry level,133402.3,False,False,False
data scientist,Microsoft,1 day ago,0,Not Applicable,146450.0,True,False,False
data science associate consumer deposits,Santander US,1 week ago,0,Entry level,133402.3,True,False,False
data scientist,US Tech Solutions,1 day ago,136 ,Mid-Senior level,171600.0,True,True,False
data scientist,"TekVivid, Inc",5 days ago,0,Entry level,133402.3,True,False,False
machine learning engineersre,"Georgia IT, Inc.",2 days ago,52 ,Entry level,133402.3,False,True,False
data analyst data scientist,Capgemini,1 day ago,0,Not Applicable,119324.07,True,False,True
ai systems engineer,EXPENTOR,1 day ago,32 ,Mid-Senior level,118502.52,False,True,False
machine learning engineer,C2R Ventures,1 day ago,0,Mid-Senior level,118502.52,False,True,False
analytics manager pp,Avispa,1 day ago,0,Mid-Senior level,135200.0,False,False,False
entry level businessdata analyst,Asta Crs Inc,4 days ago,178 ,Mid-Senior level,118502.52,False,False,True
ai engineer,Vanilla,1 day ago,0,Mid-Senior level,157500.0,False,True,False
director data analytics,Hootsuite,4 days ago,59 ,Director,178100.0,False,False,True
data scientist,Tranzeal Incorporated,1 day ago,40 ,Associate,104000.0,True,False,False
project analyst,USEC Inc.,1 day ago,0,Mid-Senior level,70000.0,False,False,False
associate analyst retailer performance marketing,The Estée Lauder Companies Inc.,1 day ago,107 ,Not Applicable,119324.07,False,True,False
sr data scientist forecasting,Ascentt,1 day ago,70 ,Mid-Senior level,118502.52,True,False,False
data scientist tidal,TIDAL,4 days ago,186 ,Associate,117581.3,True,False,False
director data analytics,Hootsuite,4 days ago,56 ,Director,178100.0,False,False,True
senior director data science healthcare analytics solutions,Quest Diagnostics,3 weeks ago,0,Director,183941.67,True,False,False
credit strategy data scientist,"Softworld, a Kelly Company",1 day ago,94 ,Mid-Senior level,118502.52,True,False,False
payroll specialist,MindPoint Group,3 weeks ago,48 ,Mid-Senior level,55000.0,False,False,False
machine learning engineer,Revolution Technologies,2 days ago,0,Mid-Senior level,118502.52,False,True,False
data scientist,Microsoft,1 day ago,0,Not Applicable,119324.07,True,False,False
senior data scientist,Sift,1 day ago,38 ,Mid-Senior level,118502.52,True,False,False
data analyst consultant,Artefact,2 days ago,0,Entry level,133402.3,False,False,True
data science co op fall,Johnson & Johnson,1 day ago,103 ,Not Applicable,76960.0,True,False,False
engineering ai intern,Critical Start,1 day ago,80 ,Internship,39088.4,False,True,False
data science analytics manager,Fuse Fundraising,1 day ago,74 ,Mid-Senior level,118502.52,True,False,False
analyst home improvement,"Upgrade, Inc.",1 day ago,70 ,Entry level,133402.3,False,False,False
analytics specialist,Honda Aircraft Company,5 days ago,90 ,Associate,117581.3,False,False,False
director data analytics,Hootsuite,4 days ago,51 ,Director,178100.0,False,False,True
data analytics associate,Coda Search│Staffing,6 days ago,0,Associate,120000.0,False,False,True
data science engineer,Plymouth Rock Assurance,3 weeks ago,0,Not Applicable,119324.07,True,False,False
data analyst,Marvica technologies,1 day ago,52 ,Entry level,133402.3,False,False,True
principal data scientist,ecocareers,1 day ago,0,Entry level,133402.3,True,False,False
corporate development analyst,Atlantic Group,2 days ago,0,Associate,107500.0,False,False,False
director data strategy,Trace3,1 day ago,136 ,Director,217050.0,False,False,False
data engineer intern,apexanalytix,1 day ago,0,Internship,39088.4,False,False,False
data science specialist,Access Holdings,1 week ago,0,Associate,117581.3,True,False,False
data scientist workplace operations supply chain,Bloomberg,5 days ago,0,Not Applicable,110000.0,True,True,False
healthcare data analyst,TEKsystems,1 day ago,0,Mid-Senior level,118502.52,False,False,True
data architect,Analytica,1 day ago,0,Mid-Senior level,118502.52,False,False,False
data scientist,Navy Federal Credit Union,1 week ago,0,Entry level,133402.3,True,False,False
director of data science,Solomon Page,3 weeks ago,0,Associate,250000.0,True,False,False
engineerscientist,USAJOBS,3 days ago,0,Entry level,133402.3,False,False,False
data science consultant,SRM Technologies,1 week ago,40 ,Mid-Senior level,118502.52,True,False,False
data science,Diverse Lynx,1 month ago,0,Entry level,133402.3,True,False,False
data scientist iii product,Google,2 days ago,116 ,Not Applicable,119324.07,True,False,False
social media assistant,DAC,6 days ago,0,Entry level,40000.0,False,False,False
data visualization and dashboard specialist,BLN24,1 day ago,30 ,Mid-Senior level,118502.52,False,False,False
trust and safety investigations analyst,Google,1 day ago,43 ,Not Applicable,119324.07,False,False,False
business data analyst,Summit Human Capital,1 day ago,156 ,Mid-Senior level,118502.52,False,False,True
siemsoar python engineer w,SmartIPlace,1 day ago,0,Mid-Senior level,118502.52,False,False,False
data analyst,Axient,1 day ago,117 ,Entry level,133402.3,False,False,True
sr data scientist,Microsoft,1 day ago,53 ,Not Applicable,175300.0,True,False,False
sr machine learning engineer,"Mercedes-Benz Research & Development North America, Inc.",1 day ago,95 ,Mid-Senior level,118502.52,False,True,False
usa business analyst,"LanceSoft, Inc.",1 day ago,36 ,Entry level,133402.3,False,False,False
urgent requirement of ai ml engineer,Webologix Global,1 day ago,0,Mid-Senior level,118502.52,False,True,False
business intelligence engineer,Ninety,5 days ago,0,Mid-Senior level,118502.52,False,False,False
data scientist vi data science,Health eCareers,1 week ago,0,Entry level,133402.3,True,False,False
revenue analyst,AvantStay,1 day ago,78 ,Mid-Senior level,75000.0,False,False,False
head of ai data science,Valley Bank,3 weeks ago,0,Director,202300.0,True,True,False
director of advanced analytics data science,Hanesbrands Inc.,1 week ago,136 ,Director,183941.67,True,False,False
budtender r greenleaf,Schwazze,1 day ago,0,Entry level,30160.0,False,False,False
data and policy assistant,Vālenz®,1 day ago,36 ,Entry level,133402.3,False,False,False
data analyst,Qualcomm,1 day ago,0,Not Applicable,96500.0,False,False,True
senior data scientist,Audible,1 day ago,140 ,Mid-Senior level,118502.52,True,False,False
product data analyst,CarOffer,2 days ago,95 ,Entry level,133402.3,False,False,True
associate scientist,eTeam,1 day ago,0,Associate,82160.0,False,False,False
data science analyst,Brown & Brown Insurance,2 weeks ago,0,Entry level,133402.3,True,False,False
head of data science,AG Consulting & Services,1 day ago,0,Mid-Senior level,165000.0,True,False,False
senior analyst data scientist,Annalect,1 day ago,145 ,Mid-Senior level,82500.0,True,False,False
data scientist ar,State of Connecticut,1 day ago,27 ,Associate,117581.3,True,False,False
data scientist wagner lab,University of Pittsburgh,2 days ago,71 ,Entry level,133402.3,True,False,False
healthcare ai ml architect,"Cybertec, Inc",1 day ago,0,Entry level,133402.3,False,True,False
chief of staff,Digna Recruitment,5 days ago,117 ,Director,150000.0,False,False,False
machine learning engineer,BTI360,6 days ago,0,Mid-Senior level,118502.52,False,True,False
data engineer,Jada Systems Inc,1 day ago,0,Entry level,133402.3,False,False,False
data analyst product marketplace,SeatGeek,5 days ago,0,Entry level,135000.0,False,False,True
data engineeranalyst,Community Services Group - CSG,1 day ago,0,Entry level,133402.3,False,False,False
business operations process analyst,Encore Access,1 month ago,0,Associate,117581.3,False,False,False
pricing analyst,Bazaarvoice,2 days ago,111 ,Mid-Senior level,97500.0,False,False,False
financial data analyst,Prodware Solutions,1 day ago,0,Mid-Senior level,118502.52,False,False,True
operations analyst,Talentree,5 days ago,53 ,Associate,117581.3,False,False,False
junior data scientist,Dice,1 day ago,0,Entry level,133402.3,True,False,False
ai software solutions engineer,Intel Corporation,1 day ago,58 ,Mid-Senior level,118502.52,False,True,False
data science manager,Alpha Recon,5 days ago,45 ,Mid-Senior level,118502.52,True,False,False
database analyst,Top Prospect Group,1 day ago,0,Mid-Senior level,60320.0,False,False,False
data engineer,Bardess Group Ltd,1 day ago,0,Entry level,133402.3,False,False,False
data scientist computational biology,"FUJIFILM Cellular Dynamics, Inc",1 day ago,33 ,Entry level,133402.3,True,False,False
data analyst,Probi AB,1 day ago,0,Associate,64490.4,False,False,True
co op data engineer,Cellarity,5 days ago,0,Entry level,133402.3,False,False,False
data science associate consumer deposits,"Santander Bank, N.A.",1 week ago,104 ,Entry level,133402.3,True,False,False
research scientist entry level,iConsultera,1 day ago,0,Entry level,133402.3,False,False,False
bioinformatician,Indiana University Indianapolis,1 day ago,0,Not Applicable,74752.0,False,False,False
data reporters,Boston Globe Media,1 day ago,36 ,Mid-Senior level,118502.52,False,False,False
intern data science and analytics,Razorfish,1 day ago,0,Internship,44720.0,True,False,False
senior data scientist,Grid Dynamics,2 days ago,0,Mid-Senior level,118502.52,True,False,False
data engineer,Gunderson Dettmer,1 day ago,46 ,Mid-Senior level,118502.52,False,False,False
data engineeranalyst associate,Scholastic,4 days ago,0,Entry level,129398.0,False,False,False
director of data science,Burtch Works,2 days ago,65 ,Director,183941.67,True,False,False
fintech data scientist,Vanguard,1 day ago,96 ,Associate,117581.3,True,False,False
analyst insights analytics,WinShape Foundation,1 day ago,28 ,Entry level,133402.3,False,False,False
data science manager,Ford Motor Company,1 day ago,83 ,Not Applicable,119324.07,True,False,False
data science engineer,Info Way Solutions,3 weeks ago,0,Entry level,133402.3,True,False,False
data researcher,Acceler8 Talent,1 day ago,0,Mid-Senior level,118502.52,False,False,False
student intern,City of Chicago Department of Law,2 days ago,0,Internship,33456.8,False,False,False
data analyst,Frequence,6 days ago,0,Entry level,133402.3,False,False,True
ai software engineer,myGwork - LGBTQ+ Business Community,1 day ago,29 ,Entry level,183350.0,False,True,False
full time only ai ml developer,Visionary Innovative Technology Solutions LLC,1 day ago,51 ,Associate,117581.3,False,True,False
business intelligence data analyst,University of North Carolina at Chapel Hill,2 days ago,184 ,Mid-Senior level,118502.52,False,False,True
sustainability analyst,US Tech Solutions,1 day ago,153 ,Associate,117581.3,False,True,False
data scientist new,Professional Staffing Services Group Inc.,2 days ago,0,Entry level,133402.3,True,False,False
data analyst,HCH Enterprises,5 days ago,146 ,Entry level,96500.0,False,False,True
data scientist iii,Crystal Equation Corporation,2 days ago,0,Entry level,133402.3,True,False,False
director of data science and drug discovery,Life Science People,2 weeks ago,82 ,Director,183941.67,True,False,False
senior data scientist ml engineer,Walmart,6 days ago,48 ,Mid-Senior level,162000.0,True,True,False
ai ml engineer,Node.Digital LLC,1 day ago,0,Mid-Senior level,118502.52,False,True,False
digital associate,PLUS Communications,2 days ago,0,Associate,117581.3,False,False,False
data science and analytics product infra,Anthropic,1 week ago,73 ,Entry level,262500.0,True,False,False
fully power bi data analyst power bi sql snowflake,CyberCoders,1 day ago,0,Mid-Senior level,100000.0,False,False,True
senior perception engineer,Miso Robotics,1 day ago,0,Mid-Senior level,118502.52,False,False,False
data engineer,Gunderson Dettmer,1 day ago,49 ,Mid-Senior level,118502.52,False,False,False
data scientist,Infinite Computer Solutions,5 days ago,0,Entry level,133402.3,True,False,False
software engineer,Replica,4 days ago,0,Mid-Senior level,123850.0,False,False,False
data integration developer intern,MorphWorks,1 day ago,121 ,Internship,39088.4,False,False,False
data engineer,Gunderson Dettmer,1 day ago,66 ,Mid-Senior level,118502.52,False,False,False
data engineer,EVONA,1 day ago,0,Mid-Senior level,125000.0,False,False,False
anti money laundering analyst,Forrest Solutions,1 day ago,0,Not Applicable,60320.0,False,False,False
senior data analyst,Artsy,1 day ago,142 ,Mid-Senior level,118502.52,False,False,True
director of data analytics,WiserWulff,1 day ago,50 ,Director,183941.67,False,False,True
battery engineer electrochemistry,ADVANO,1 day ago,0,Mid-Senior level,118502.52,False,False,False
applied scientist,Microsoft,1 day ago,0,Not Applicable,146450.0,False,False,False
bioinformatics scientist,Active Motif,2 days ago,0,Mid-Senior level,105000.0,False,False,False
digital marketing assistant,myVA360,1 day ago,0,Entry level,133402.3,False,False,False
staff data scientist,Walmart,4 days ago,0,Entry level,198000.0,True,False,False
business analyst,CBC,1 day ago,0,Mid-Senior level,118502.52,False,False,False
partner strategy operations manager,Zillow,1 day ago,0,Mid-Senior level,134000.0,False,False,False
data engineer,Gunderson Dettmer,1 day ago,122 ,Mid-Senior level,118502.52,False,False,False
artificial intelligence engineer,"Triunity Software, Inc.",6 days ago,0,Not Applicable,119324.07,False,False,False
data scientistsenior data scientist,Navy Federal Credit Union,1 day ago,84 ,Mid-Senior level,107900.0,True,False,False
senior data scientist,"Qventus, Inc",1 day ago,111 ,Mid-Senior level,180000.0,True,False,False
senior swe machine learning,Lyft,1 day ago,44 ,Mid-Senior level,118502.52,False,True,False
safety analyst,VDart,1 day ago,0,Mid-Senior level,118502.52,False,False,False
staff data scientist,Walmart,5 days ago,0,Entry level,214500.0,True,False,False
fraud analyst,Newegg,1 day ago,37 ,Mid-Senior level,118502.52,False,False,False
ai software engineer,Zoom,1 day ago,0,Not Applicable,119324.07,False,True,False
data and analytics specialist,UBS,6 days ago,0,Not Applicable,119324.07,False,False,False
